"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1674",428,"Raspberry Cooler",2015-09-03 05:25:46,17167,"alcoholic","other/unknown","highball glass",3,"ice","",NA,NA,NA,NA,NA,NA,NA,"ice","ice"
"1675",429,"Red Snapper",2017-09-06 23:02:23,14087,"alcoholic","shot","old-fashioned glass",1,"crown royal","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"uncommon ingredient","crown royal"
"1676",429,"Red Snapper",2017-09-06 23:02:23,14087,"alcoholic","shot","old-fashioned glass",2,"amaretto","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"amaretto","amaretto"
"1677",429,"Red Snapper",2017-09-06 23:02:23,14087,"alcoholic","shot","old-fashioned glass",3,"cranberry juice","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"cranberry juice","cranberry juice"
"1678",430,"Rose",2017-09-02 17:57:42,17208,"alcoholic","ordinary drink","cocktail glass",1,"dry vermouth","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"dry vermouth","dry vermouth"
"1679",430,"Rose",2017-09-02 17:57:42,17208,"alcoholic","ordinary drink","cocktail glass",2,"gin","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"gin","gin"
"1680",430,"Rose",2017-09-02 17:57:42,17208,"alcoholic","ordinary drink","cocktail glass",3,"apricot brandy","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","apricot brandy"
"1681",430,"Rose",2017-09-02 17:57:42,17208,"alcoholic","ordinary drink","cocktail glass",4,"lemon juice","1/2 tsp","1/2",NA,NA,"tsp",0.5,NA,-0.0804579130672757,"lemon juice","lemon juice"
"1682",430,"Rose",2017-09-02 17:57:42,17208,"alcoholic","ordinary drink","cocktail glass",5,"grenadine","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"grenadine","grenadine"
"1683",431,"Royal Bitch",2015-09-02 17:08:10,17122,"alcoholic","shot","shot glass",1,"frangelico","1 part","1",NA,NA,"part",1,5,-0.0731584639822161,"uncommon ingredient","frangelico"
"1684",431,"Royal Bitch",2015-09-02 17:08:10,17122,"alcoholic","shot","shot glass",2,"crown royal","1 part","1",NA,NA,"part",1,5,-0.0731584639822161,"uncommon ingredient","crown royal"
