"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1765",450,"Sangria - The World's Best",2016-07-19 11:31:04,13026,"alcoholic","punch / party drink","pitcher",7,"soda water","",NA,NA,NA,NA,NA,NA,NA,"soda water","soda water"
"1766",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",1,"ricard","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"uncommon ingredient","ricard"
"1767",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",2,"sugar","1/2 tsp superfine","1/2",NA,NA,"tsp superfine",0.5,NA,-0.0804579130672757,"sugar","sugar"
"1768",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",3,"peychaud bitters","2 dashes","2",NA,NA,"dashes",2,1.2,-0.0585595658120971,"uncommon ingredient","peychaud bitters"
"1769",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",4,"water","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"water","water"
"1770",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",5,"bourbon","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"bourbon","bourbon"
"1771",451,"Sazerac",2015-08-18 15:13:28,12127,"alcoholic","ordinary drink","old-fashioned glass",6,"lemon peel","1 twist of","1",NA,NA,"twist of",1,NA,-0.0731584639822161,"lemon peel","lemon peel"
"1772",452,"Scooter",2017-01-02 20:18:27,12130,"alcoholic","ordinary drink","cocktail glass",1,"brandy","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"brandy","brandy"
"1773",452,"Scooter",2017-01-02 20:18:27,12130,"alcoholic","ordinary drink","cocktail glass",2,"amaretto","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"amaretto","amaretto"
"1774",452,"Scooter",2017-01-02 20:18:27,12130,"alcoholic","ordinary drink","cocktail glass",3,"light cream","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"light cream","light cream"
"1775",453,"Scotch Cobbler",2017-09-06 23:17:07,12138,"alcoholic","ordinary drink","old-fashioned glass",1,"scotch","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"scotch","scotch"
"1776",453,"Scotch Cobbler",2017-09-06 23:17:07,12138,"alcoholic","ordinary drink","old-fashioned glass",2,"brandy","4 dashes","4",NA,NA,"dashes",4,2.4,-0.029361769471859,"brandy","brandy"
"1777",453,"Scotch Cobbler",2017-09-06 23:17:07,12138,"alcoholic","ordinary drink","old-fashioned glass",3,"curacao","4 dashes","4",NA,NA,"dashes",4,2.4,-0.029361769471859,"uncommon ingredient","curacao"
"1778",453,"Scotch Cobbler",2017-09-06 23:17:07,12138,"alcoholic","ordinary drink","old-fashioned glass",4,"orange","1 slice","1",NA,NA,"slice",1,NA,-0.0731584639822161,"orange","orange"
"1779",453,"Scotch Cobbler",2017-09-06 23:17:07,12138,"alcoholic","ordinary drink","old-fashioned glass",5,"mint","1","1",NA,NA,NA,1,1,-0.0731584639822161,"uncommon ingredient","mint"
